"Date","Value"
"2013-04-28",1599410000
"2013-04-29",1669570000
"2013-04-30",1583200000
"2013-05-01",1344530000
"2013-05-02",1221780000
"2013-05-03",1087750000
"2013-05-04",1293100000
"2013-05-05",1389000000
"2013-05-06",1420880000
"2013-05-07",1250690000
"2013-05-08",1353120000
"2013-05-09",1329690000
"2013-05-10",1402850000
"2013-05-11",1367710000
"2013-05-12",1353680000
"2013-05-13",1382900000
"2013-05-14",1399860000
"2013-05-15",1328050000
"2013-05-16",1348760000
"2013-05-17",1443990000
"2013-05-18",1456080000
"2013-05-19",1418470000
"2013-05-20",1436960000
"2013-05-21",1436950000
"2013-05-22",1442460000
"2013-05-23",1473520000
"2013-05-24",1559050000
"2013-05-25",1547770000
"2013-05-26",1588620000
"2013-05-27",1515010000
"2013-05-28",1508880000
"2013-05-29",1535590000
"2013-05-30",1534490000
"2013-05-31",1502860000
"2013-06-01",1504370000
"2013-06-02",1415380000
"2013-06-03",1399850000
"2013-06-04",1417940000
"2013-06-05",1447070000
"2013-06-06",1412390000
"2013-06-07",1315130000
"2013-06-08",1288330000
"2013-06-09",1152130000
"2013-06-10",1234850000
"2013-06-11",1263990000
"2013-06-12",1279340000
"2013-06-13",1288100000
"2013-06-14",1196790000
"2013-06-15",1198000000
"2013-06-16",1176420000
"2013-06-17",1195400000
"2013-06-18",1266020000
"2013-06-19",1267980000
"2013-06-20",1325250000
"2013-06-21",1304360000
"2013-06-22",1293390000
"2013-06-23",1280070000
"2013-06-24",1222150000
"2013-06-25",1229320000
"2013-06-26",1247360000
"2013-06-27",1231620000
"2013-06-28",1153670000
"2013-06-29",1149520000
"2013-06-30",1170140000
"2013-07-01",1077750000
"2013-07-02",1083100000
"2013-07-03",1019150000
"2013-07-04",970480000
"2013-07-05",810821000
"2013-07-06",842269000
"2013-07-07",875506000
"2013-07-08",949297000
"2013-07-09",937618000
"2013-07-10",950755000
"2013-07-11",1053100000
"2013-07-12",1149150000
"2013-07-13",1160910000
"2013-07-14",1162630000
"2013-07-15",1193700000
"2013-07-16",1185110000
"2013-07-17",1186000000
"2013-07-18",1094910000
"2013-07-19",1138800000
"2013-07-20",1131320000
"2013-07-21",1090070000
"2013-07-22",1119780000
"2013-07-23",1152290000
"2013-07-24",1168470000
"2013-07-25",1178920000
"2013-07-26",1170890000
"2013-07-27",1155410000
"2013-07-28",1196270000
"2013-07-29",1227630000
"2013-07-30",1241980000
"2013-07-31",1281300000
"2013-08-01",1268470000
"2013-08-02",1284140000
"2013-08-03",1259520000
"2013-08-04",1328790000
"2013-08-05",1343280000
"2013-08-06",1336530000
"2013-08-07",1334470000
"2013-08-08",1275140000
"2013-08-09",1284280000
"2013-08-10",1285450000
"2013-08-11",1306230000
"2013-08-12",1306020000
"2013-08-13",1352410000
"2013-08-14",1421190000
"2013-08-15",1377120000
"2013-08-16",1359070000
"2013-08-17",1413680000
"2013-08-18",1441480000
"2013-08-19",1480760000
"2013-08-20",1523480000
"2013-08-21",1563440000
"2013-08-22",1532380000
"2013-08-23",1486270000
"2013-08-24",1512340000
"2013-08-25",1535230000
"2013-08-26",1523590000
"2013-08-27",1575610000
"2013-08-28",1555830000
"2013-08-29",1550630000
"2013-08-30",1674300000
"2013-08-31",1717720000
"2013-09-01",1729460000
"2013-09-02",1711300000
"2013-09-03",1707160000
"2013-09-04",1630240000
"2013-09-05",1617260000
"2013-09-06",1543800000
"2013-09-07",1572330000
"2013-09-08",1545860000
"2013-09-09",1621760000
"2013-09-10",1597120000
"2013-09-11",1664090000
"2013-09-12",1689980000
